title,artist,album,lyrics,original description,New Description
썸 (Feat. 릴보이 Of 긱스),"소유 (SOYOU), 정기고",썸,"가끔씩 나도 모르게 짜증이나
너를 향한 맘은 변하지 않았는데
혹시 내가 이상한 걸까
혼자 힘들게 지내고 있었어
텅 빈 방 혼자 멍하니 뒤척이다
티비에는 어제 본 것 같은 드라마
잠이 들 때까지 한번도
울리지 않는 핸드폰을 들고
요즘 따라 내꺼인 듯
내꺼 아닌 내꺼 같은 너
니꺼인 듯 니꺼 아닌
니꺼 같은 나
이게 무슨 사이인 건지 사실
헷갈려 무뚝뚝하게 굴지마
연인인 듯 연인 아닌
연인 같은 너 나만 볼 듯
애매하게 날 대하는 너
때로는 친구 같다는 말이
괜히 요즘 난 듣기 싫어 졌어
매일 아침 너의 문자에
눈을 뜨고 하루 끝에는
니 목소리에 잠들고 파
주말에는 많은 사람 속에서
보란 듯이 널 끌어 안고 싶어
요즘 따라 내꺼인 듯
내꺼 아닌 내꺼 같은 너
니꺼인 듯 니꺼 아닌
니꺼 같은 나
때로는 친구 같다는 말이
괜히 요즘 난 듣기 싫어 졌어
너 요즘 너 별로야 너 별로야
나 근데 난 너뿐이야
난 너뿐이야
분명하게 내게 선을 그어줘
자꾸 뒤로 빼지 말고
날 사랑한다 고백해 줘
여전히 친구인척 또 연인인척
행동하는 모습을 전부다 돌이켜
생각 할 수록 너의 진심이
더 궁금해지는 걸 girl you’re so
ambiguous 난 못해
무엇도 아니 어쩌면
기적을 바라지 lotto
확실한 표현을 원하지만
너의 미소 띈 표정에
잊어버리지 난
요즘 따라 내꺼인 듯
내꺼 아닌 내꺼 같은 너
니꺼인 듯 니꺼 아닌
니꺼 같은 나
순진한 척 웃지만 말고
그만 좀 해
너 솔직하게 좀 굴어봐
니 맘 속에 날 놔두고
한 눈 팔지 마 너야말로
다 알면서 딴청 피우지 마
피곤하게 힘 빼지 말고
어서 말해줘 사랑한단 말이야",소울 감성 가득한 정기고 특유의 로맨틱한 보컬에 씨스타 '소유'의 청아한 음색이 어우러져 듣는 이의 가슴을 두근거리게 하는 미디엄 템포의 듀엣송,사랑과 우정 사이에서 헷갈리는 감정을 표현한 소울 감성 곡. 모호한 관계 속에서 진심을 표현하고 싶어하는 이의 속마음을 노래한 미디엄 템포의 듀엣송.
야생화,박효신,야생화,"하얗게 피어난 얼음 꽃 하나가
달가운 바람에 얼굴을 내밀어
아무 말 못했던 이름도 몰랐던
지나간 날들에 눈물이 흘러
차가운 바람에 숨어 있다
한줄기 햇살에 몸 녹이다
그렇게 너는 또 한번 내게 온다
좋았던 기억만
그리운 마음만
니가 떠나간 그 길 위에
이렇게 남아 서있다
잊혀질 만큼만
괜찮을 만큼만
눈물 머금고
기다린 떨림 끝에
다시 나를 피우리라
사랑은 피고 또 지는
타버리는 불꽃
빗물에 젖을까 두 눈을 감는다
어리고 작았던 나의 맘에
눈부시게 빛나던 추억 속에
그렇게 너를 또 한번 불러본다
좋았던 기억만
그리운 마음만
니가 떠나간 그 길 위에
이렇게 남아 서있다
잊혀질 만큼만
괜찮을 만큼만
눈물 머금고 기다린 떨림 끝에
다시 나는
메말라가는땅 위에
온몸이 타 들어가고
내 손끝에 남은
너의 향기 흩어져 날아가
멀어져 가는 너의 손을
붙잡지 못해 아프다
살아갈 만큼만
미워했던 만큼만
먼 훗날 너를 데려다 줄
그 봄이 오면 그날에 나 피우리라",추운 겨울 들판에 피어난 야생화처럼 그간의 시련과 어려움들을 이겨내고 음악을 통해 다시 한번 비상하겠다,한 겨울의 추억과 잊지 못하는 사랑을 노래하는 곡. 그리움과 아픔이 담긴 가사 속에서 피어나는 감정을 전하는 곡이다. 함께한 순간들을 회상하며 떠나간 사랑을 기다리는 마음이 묻어난다.
"눈, 코, 입",태양,RISE,"미안해 미안해 하지마
내가 초라해지잖아
빨간 예쁜 입술로
어서 나를 죽이고 가
나는 괜찮아
마지막으로 나를 바라봐줘
아무렇지 않은 듯 웃어줘
네가 보고 싶을 때
기억할 수 있게
나의 머릿속에 네 얼굴
그릴 수 있게
널 보낼 수 없는 나의 욕심이
집착이 되어 널 가뒀고
혹시 이런 나 땜에 힘들었니
아무 대답 없는 너
바보처럼 왜
너를 지우지 못해
넌 떠나버렸는데
너의 눈 코 입
날 만지던 네 손길
작은 손톱까지 다
여전히 널 느낄 수 있지만
꺼진 불꽃처럼
타들어가버린
우리 사랑 모두 다
너무 아프지만 이젠 널
추억이라 부를게
사랑해 사랑했지만
내가 부족했었나 봐
혹시 우연이라도
한순간만이라도 널
볼 수 있을까
하루하루가 불안해져
네 모든 게 갈수록 희미해져
사진 속에 너는 왜
해맑게 웃는데
우리에게 다가오는
이별을 모른 채
널 보낼 수 없는 나의 욕심이
집착이 되어 널 가뒀고
혹시 이런 나 땜에 힘들었니
아무 대답 없는 너
바보처럼 왜
너를 지우지 못해
넌 떠나버렸는데
너의 눈 코 입
날 만지던 네 손길
작은 손톱까지 다
여전히 널 느낄 수 있지만
꺼진 불꽃처럼
타들어가버린
우리 사랑 모두 다
너무 아프지만 이젠 널
추억이라 부를게
나만을 바라보던 너의 까만 눈
향기로운 숨을 담은 너의 코
사랑해 사랑해
내게 속삭이던 그 입술을 난
너의 눈 코 입
날 만지던 네 손길
작은 손톱까지 다
모두 다
여전히 널 느낄 수 있지만
널 느낄 수 있지만
꺼진 불꽃처럼
타들어가버린
우리 사랑 모두 다
너무 아프지만 이젠 널
추억이라 부를게","심플한 피아노 반주에 태양의 감미로운 보컬이 돋보이는 슬로우 템포의 R&B 곡이다.헤어진 연인에 대한 아련한 그리움이 느껴지며, 후렴구의 ’눈, 코, 입’을 디테일하게 표현한 가사와 중독성있는 멜로디가 돋보인다. ","이별 후의 아련한 그리움과 아픈 추억을 담은 R&B 곡. 피아노와 감미로운 보컬이 어우러진 섬세한 멜로디가 눈에 띄며, ’눈, 코, 입’을 중심으로 한 가사가 잔잔한 감성을 자아낸다."
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,Modern Times - Epilogue,"월요일엔 아마 바쁘지 않을까
화요일도 성급해 보이지 안 그래
수요일은 뭔가 어정쩡한 느낌
목요일은 그냥 내가 왠지 싫어
우 이번 주 금요일
우 금요일에 시간 어때요
주말까지 기다리긴 힘들어
시간아 달려라 시계를
더 보채고 싶지만
mind control
일분 일초가 달콤해
이 남자 도대체 뭐야
사랑에 빠지지 않곤 못 배기겠어
온 종일 내 맘은 저기
시계바늘 위에 올라타
한 칸씩 그대에게 더 가까이
우 이번 주 금요일
우 금요일에 시간 어때요
딱히 보고 싶은 영화는 없지만
딱히 먹고 싶은 메뉴는 없지만
주말까지 기다리긴 힘들어
시간아 달려라 시계를
더 보채고 싶지만
mind control
일분 일초가 달콤해
이 남자 도대체 뭐야
사랑에 빠지지 않곤
못 배기겠어
온 종일 내 맘은 저기
시계바늘 위에 올라타
한 칸씩 그대에게 더 가까이
나 뭔가에 홀린 것 같아
이 여잔 도대체 뭐야
사랑해주지 않고는 못 배기겠어
돌아오는 이번 주
금요일에 만나요
그 날 내 맘을 더 가져가줘요
더 가까이 더 가까이 와요
더 가까이","이제 막 서로에게 반한 남녀의 어쩔 줄 모르는 설렘을 노래한 곡이다. 짧아서 더 설레고 가장 두근거린다는 연애 바로 직전 단계. 특히 여기저기 온통 빨갛고 파랗고 반짝거리는 요즘 같은 겨울에 하는 첫 데이트가 이렇지 않을까. 시작엔 잔잔한 기타 반주를, 후반부엔 스윙 리듬을 가미해 그 설레는 시기의 심장 박동 같은 리듬을 표현하고 싶었다.","가사 속 금요일을 향한 설렘을 담은 곡으로, 사랑에 빠져 시간이 달콤하게 흐른다는 감정을 표현합니다. 설레는 마음을 가사와 멜로디가 잘 나타내며, 연애의 첫 단계에서의 설렘과 기대감이 묘사되어 있습니다. 겨울의 특별한 첫 데이트를 상상케하는 곡이며, 기타 반주와 스윙 리듬이 설레는 마음을 자연스럽게 전달합니다."
한여름밤의 꿀,"San E (산이), 레이나 (Raina)","San E, 레이나 Project Single '한여름밤의 꿀'","무더운 밤 잠은 오지 않고
이런저런 생각에 불러본 너
나올 줄 몰랐어
간지러운 바람 웃고 있는 우리
밤하늘에 별 취한듯한 너
시원한 beer cheers
바랄게 뭐 더 있어
한여름밤의 꿀 한여름밤의 꿀
so sweet so sweet yum
정말 오랜만이야 어떻게 지냈어
나 똑같지 뭐 그냥 열심히 일했어
넌 어때 그때 그 사람 계속 만나
헤어졌구나 미안
괜한 얘기 꺼내 어쨌든 반가워
시간 진짜 빠르다 벌써
여기까지 왔네 우리도
근데 어쩜 넌 하나 변함없이
여전히 이쁘네
던진 농담 반 진담 반 왜 말
돌리는데
술 때문인 건지 아니면
부끄러운 건지
빨개지는 볼 너 생각나로
피어나는 추억에 화원
색색 아련한 이야기꽃 웃음꽃
I want to tell you something
예전에 나 너 좋아했던 거 알어
and you said I know
나 좀 취했나 봐
헛소리 신경 쓰지 말고
cheers 건배 오늘처럼
무더운 밤 잠은 오지 않고
이런저런 생각에 불러본 너
나올 줄 몰랐어
간지러운 바람 웃고 있는 우리
밤하늘에 별 취한듯한 너
시원한 beer cheers
바랄게 뭐 더 있어
한여름밤의 꿀 이건 마치
한여름밤의 꿀 우린 마치
so sweet so sweet yum
Hold up 지금 나오는 노래 뭐지
잠깐
Hold up 알듯한데 제목 기억
안 나는 옛 노래
흥얼거려 멜로디
시원한 밤공기
자리 옮길 겸 걷자 신난다며 폴짝
뛰어가는 뒷모습
참 순수해 너란 여자
그러다 벌레 한 마리에 기겁하더니
가로등 불빛 아래 포개지는 그림자
하나 이 순간 둘 행복해
셋 어느새 쥐고 있는 손가락 넷
한여름밤의 꿈 깨고 싶지 않은
한여름밤의 꿀 바로 오늘 같은
무더운 밤 잠은 오지 않고
이런저런 생각에 불러본 너
나올 줄 몰랐어
간지러운 바람 웃고 있는 우리
밤하늘에 별 취한듯한 너
시원한 beer cheers
바랄게 뭐 더 있어
한여름밤의 꿀 이건 마치
한여름밤의 꿀 우린 마치
so sweet so sweet yum
오늘 너무 즐거웠어 너무 즐거웠어
너무 반가웠어 나도 반가웠어
잘 자 굿나잇
You have a sweet dream
이런 널 보고 있자니 바랄게 없어서
행복했어 So happy
너무 행복했어 Me too
잘 자 굿나잇
You have a sweet dream
이런 널 안고 있자니 바랄게
뭐 더 있어
한여름밤의 꿀 한여름밤의 꿀
so sweet so sweet yum
한여름밤의 꿀 이건 마치
한여름밤의 꿀 우린 마치
so sweet so sweet yum","아련하고 달달한 느낌의 알앤비 힙합곡으로, 기존의 여름 테마송들처럼 시원하고 신나는 느낌의 노래가 아닌 한 여름밤의 설레이는 추억들을 회상할 수 있는 나른하고 독특한 여름 테마송이다.","한여름밤, 달콤한 추억을 불러일으키는 알앤비 힙합곡. 달콤한 여름밤의 회상과 설레임을 담은 음악."
봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,"길었던 겨우내 줄곧 품이 좀 남는
밤색 코트
그 속에 나를 쏙 감추고 걸음을
재촉해 걸었어
그런데 사람들 말이 너만 아직도
왜 그러니
그제서야 둘러보니 어느새 봄이
손 잡고 걸을 사람 하나 없는 내게
달콤한 봄바람이 너무해
나만 빼고 다 사랑에 빠져
봄노래를 부르고
꽃잎이 피어나 눈 앞에 살랑거려도
난 다른 얘기가 듣고 싶어
한바탕 휩쓸고 지나가버릴
오오 봄 사랑 벚꽃 말고
봄 사랑 벚꽃 말고
봄 사랑 벚꽃 말고
봄 사랑 벚꽃 말고
손에 닿지도 않을 말로
날 꿈틀거리게 하지 말어
맘 먹고 밖에 나가도
막상 뭐 별 거 있나
손 잡고 걸을 사람 하나 없는 내게
오 사랑노래들이 너무해
나만 빼고 다 사랑에 빠져
봄노래를 부르고
꽃잎이 피어나 눈 앞에 살랑거려도
난 다른 얘기가 듣고 싶어
한바탕 휩쓸고 지나가버릴
오오 봄 사랑 벚꽃 말고
남들보다 절실한 사랑 노래 가사를
불러 봐
수많은 연인들 가운데 왜 나는
혼자만
똑같은 거리와 어제와 같은 옷차림
난 제자린데 왜 세상은 변한 것만
같지
누군가와 봄길을 거닐고 할 필욘
없지만
누구나 한번쯤은 머물고 싶은 그런
기억을
만들고 싶어 떨어지는 벚꽃잎도
엔딩이 아닌 봄의 시작이듯
사실은 요즘 옛날 생각이 나
걷기만 해도 그리워지니까
다시 느낄 수 있나 궁금해지지만
Then you know what
나만 빼고 다 사랑에 빠져
봄노래를 부르고
꽃잎이 피어나 눈 앞에 살랑거려도
난 다른 얘기가 듣고 싶어
한바탕 휩쓸고 지나가버릴
오오 봄 사랑 벚꽃 말고
봄 사랑 벚꽃 말고
봄 사랑 벚꽃 말고
봄 사랑 벚꽃 말고
봄 사랑 벚꽃 말고","리얼 악기 사운드로 완성된 펑키한 리듬과 중독성 강한 멜로디로 상쾌한 봄의 청량감을 느낄 수 있는 곡으로, 외로운 솔로들의 마음을 위로하는 따뜻한 봄 노래이다.",길었던 겨울을 마무리하며 봄을 맞이하는 곡. 외로움과 그리움이 어우러진 가사 속에서 봄의 시작을 담담하게 노래한다. 솔로들의 마음을 위로하는 상쾌한 봄 노래.
Mr. Chu (On Stage),Apink (에이핑크),Pink Blossom,"한번 보면 두 번 더 보고 싶어
두번 세번 보면 너를 더 안고 싶어
너와 커플링 커플링 손에 끼고서
함께 이 길을 걷고 싶어 난
매일 매일 봐도 난 더 좋아져
두번 세번 나의 볼을 꼬집어 봐도
마치 Dreaming Dreaming
꿈을 꾸는 듯
생각만 해도 난 미소가
Mr. Chu
입술 위에 Chu
달콤하게 Chu
온몸에 난 힘이 풀려
내 맘 흔들 흔들어 날 흔들어놔요
I'm falling falling for your love
Hey you 입술 위에 Chu
Everyday with you
널 보면 내 눈이 감겨
몰래 살짝 다가와 또 키스해줄래
내 꿈결 같은 넌 나만의 Mr. Chu
부드러운 감촉 잊을 수 없어
화끈거리는 내 얼굴 빨개지는 걸
It's so lovely lovely
사랑스러워
난 네가 자꾸만 좋아져
Mr. Chu
입술 위에 Chu
달콤하게 Chu
온몸에 난 힘이 풀려
내 맘 흔들 흔들어 날 흔들어놔요
I'm falling falling for your love
Hey you 입술 위에 Chu
Everyday with you
널 보면 내 눈이 감겨
몰래 살짝 다가와 또 키스해줄래
내 꿈결 같은 넌 나만의
내 소원을 들어줘요
영원한 사랑 이뤄주길
짜릿짜릿한 느낌
절대 맘 변하지 않기
평생 나만 바라봐줘 baby
Mr. Chu
입술 위에 Chu
달콤하게 Chu
온몸에 난 힘이 풀려
내 맘 흔들 흔들어 날 흔들어놔요
I'm falling falling for your love
Hey you 입술 위에 Chu
Everyday with you
널 보면 내 눈이 감겨
몰래 살짝 다가와 또 키스해줄래
내 꿈결 같은 넌 나만의 Mr. Chu",사랑하는 사람과 나누는 첫 입맞춤의 두근거림을 표현한 통통 튀는 가사가 돋보이는 팝 댄스곡이며 다양한 이펙트 계열의 신스가 신나는 리듬과 만나 Apink만의 깜찍한 매력을 극대화시키고 있다. ,"사랑에 빠진 소녀가 행복한 설레임을 노래하는 팝 댄스곡. 입술 위에 달콤한 키스를 느껴보며 사랑에 빠지는 느낌을 표현합니다. ""Mr. Chu""는 달콤하고 사랑스러운 감정을 표현하는 곡입니다."
너의 의미 (Feat. 김창완),아이유,꽃갈피,"너의 그 한 마디 말도 그 웃음도
나에겐 커다란 의미
너의 그 작은 눈빛도
쓸쓸한 그 뒷모습도 나에겐 힘겨운
약속
너의 모든 것은 내게로 와
풀리지 않는 수수께끼가 되네
슬픔은 간이역의 코스모스로 피고
스쳐 불어온 넌 향긋한 바람
나 이제 뭉게구름 위에 성을 짓고
널 향해 창을 내리 바람 드는 창을
너의 그 한 마디 말도 그 웃음도
나에겐 커다란 의미
너의 그 작은 눈빛도
쓸쓸한 그 뒷모습도 나에겐 힘겨운
약속
너의 모든 것은 내게로 와
풀리지 않는 수수께끼가 되네
슬픔은 간이역의 코스모스로 피고
스쳐 불어온 넌 향긋한 바람
나 이제 뭉게구름 위에 성을 짓고
널 향해 창을 내리 바람 드는 창을
슬픔은 간이역의 코스모스로 피고
스쳐 불어온 넌 향긋한 바람
나 이제 뭉게구름 위에 성을 짓고
널 향해 창을 내리 바람 드는 창을
너의 그 한 마디 말도 그 웃음도
나에겐 커다란 의미
너의 그 작은 눈빛도
쓸쓸한 그 뒷모습도 나에겐 힘겨운
약속",녹음을 진행할 때 같이 부스 안에서 자연스럽게 호흡하며 리드하는 독창적인 김창완 그 만의 방식은 산울림의 음악 그 자체와 매우 닮아있었으며 가공되지 않은 원곡의 감성을 세대를 넘어 연결하는 교감의 고리가 되어주었다.,"한 마디 한 웃음도 커다란 의미를 지니고 있는 곡. 쓸쓸한 눈빛과 뒷모습이 힘든 약속으로 남아, 수수께끼 같은 존재가 되어. 슬픔은 꽃밭으로, 바람은 향긋하게. 구름 위 성을 짓고 창문을 열며, 끝없는 약속을 다시 한번 노래한다."
Something,걸스데이,걸스데이 미니앨범 3집,"don't you look
into my eyes and lie again
im sick of being alone
흔들리는 표정 말투에
넌 뭔가 있는 듯해
네 몸에 베인 낯선 향기에
뭔가에 홀린 듯해
내 촉에 찔리나봐
허를 찌르니까 넋이 나가
앞뒤가 이랬다 저랬다 왜 그러니
내 촉에 찔리나봐
허를 찌르니까 넋이 나가
왜 덜컥 겁이나
이손 놔 날 속이지마
나만 몰랐었던 something
분명히 느껴져
must be something
뻔한 너의 거짓말
그만 여기까지만
nothing
it's something
stop it no uh
흐린 하늘 속 그 무지개
슬피 우는 피아노
네 몸에 베인 낯선 향기에
뭔가에 홀린듯해
내 촉에 찔리나봐
허를 찌르니까 넋이 나가
앞뒤가 이랬다 저랬다 왜 그러니
내 촉에 찔리나봐
허를 찌르니까 넋이 나가
왜 덜컥 겁이나
이손 놔 날 속이지마
나만 몰랐었던 something
분명히 느껴져
must be something
뻔한 너의 거짓말
그만 여기까지만
nothing
it's something
stop it no uh
사랑을 쉽게
얻으려고 하지마
후회 하지마
속이고
여잘 또 울리는
넌 여기까지
bye bye bye out
나만 몰랐었던 something
분명히 느껴져
must be something
뻔한 너의 거짓말
그만 여기까지만
nothing
it's something
stop it no uh
내가 준 사랑이 넌 우스웠니
내가 준 사랑이 지겨워졌니
니 앞에서 보이기 싫어
참았던 눈물
내가 준 사랑이 넌 우스웠니
내가 준 사랑이 지겨워졌니
우린 여기까지니
우린 여기까지니", 다른 여자에게 한 눈 팔며 거짓말하는 남자와 그 남자를 사랑하는 여자 사이에 생기는 미묘한 감정과 사건을 다룬 노래다. 이곡은 일반적인 댄스곡의 전자음을 배재하고 Hip-hop Groove에 Acoustic한 악기구성으로 걸스데이의 목소리에 더욱더 집중할 수 있게 만들었다. 특히 가성과 진성을 오가며 사랑에 아프고 사랑에 눈물짓고 힘겨워하는 여자의 마음을 극적으로 표현해 곡 자체가 묘한 여성미의 절정을 보여준다는 평이다.,눈을 피해 거짓말하는 상대와의 아픈 사랑을 다룬 곡. 걸스데이의 목소리와 Hip-hop Groove가 어우러진 곡은 사랑의 고통을 감성적으로 표현한다. 여성의 감정을 깊이 담아 묘한 여성미를 보여주는 곡이다.
200%,AKMU (악뮤),PLAY,"uh 나를봐 나를봐 나를봐
날 바라봐 바라봐 바라봐
너를 본 내 마음속에 사랑이
내 본능이 고백 빨리 하라 해
네 주위를 둘러싼 수많은 경쟁자
Yes I'm a soldier for you
sweet멘트 장전
발사하기 전에 제군들
입 풀었나 yes 완전
간장콩장콩장장 equals
간 콩장장
Yeah I'm ready
아침이 깨는 소리 Morning
바람들은
makes harmony
저물어가는 달빛은
let it go uh
여물어가는 romance
꿈꾸고 good night
Hey baby it's comin' new day
새로운 느낌이야 이건
Hey 왜 이래
It's common lovesick
아무래도 이거는 이거는
It must be L O V E 200 percent
sure of that
I want you really I mean really
정말이야 널 좋아하는데
빨갛게 익은
내 얼굴이 그걸 증명해
나를 봐 나를 봐 나를 봐
날 바라봐 바라봐 바라봐
난 strawberry처럼
very very
상큼한 사람
don't worry worry
어리바리한 그대
주위 사람들은 모두 다 이기주의
밤낮을 걸으며 널 지켜줄
나와 달리 그들은
차 키를 과시하지만
BAD GUY
자다가 일어나 잠꼬대로도 널 찾네
아침이 깨는 소리 Morning
바람들은
makes harmony
저물어가는 달빛은
let it go
여물어가는
romance 꿈꾸고
Hello 어디 가는 거니
where you
I'll be there
네가 있는 그 거리
that way
아직 우리 사이 서먹해도
그래도 try는 해봐야지 나라도
It must be L O V E 200 percent
sure of that
I want you really I mean really
정말이야 널 좋아하는데
빨갛게 익은 내 얼굴이 그걸 증명해
처음이야 이런 기분
멈추질 못하겠어 막 넘쳐
누가 잠가놓은 듯 내 입은
네 앞에서 오물쪼물 안 열려
내 부름에 뒤를 돌아보는
네 두 눈을 보니
I said see you tomorrow
Oh baby it can't be over like this
someone help me
내 맘을 전할 수 있다면
사실은 나 널 oh please
좋아하는데 I'm sure
모든 걸 담은 이 눈빛이 그걸 증명해
It must be L O V E 200 percent
sure of that
I want you really I mean really
정말이야 널 좋아하는데
빨갛게 익은 내 얼굴이 그걸 증명해
It must be L O V E","경쾌하고 리드미컬한 멜로디의 사랑 노래로 밤새 고백을 준비했지만, 막상 그 사람 앞에선 떨려 아무 말도 못 하는 내용의 가사를 악동뮤지션만의 감성으로 위트있게 풀어냈다. 통통 튀는 드럼의 킥 사운드를 주축으로 그루브 있는 기타 리듬, 일렉 피아노, 펑키함을 돋보이게 하는 브라스가 가미되었다. ",한숨 쉬며 사랑 고백을 준비하는 주인공의 마음을 경쾌하고 위트있게 담은 곡. 사랑에 빠져들어 어리버리한 모습을 고백하는 가사와 통통 튀는 드럼과 그루브 있는 기타 리듬이 어우러져 활기찬 분위기를 전달한다.
